metric,table,variable,label,simple_label,order
Mode to Work,B08301,1,Total,Total,10
Mode to Work,B08301,3,Drove Alone,Drove alone,1
Mode to Work,B08301,4,Carpooled,Carpooled,2
Mode to Work,B08301,10,Public Transportation (Excluding Taxicab),Transit,3
Mode to Work,B08301,16,Taxicab,Other,7
Mode to Work,B08301,17,Motorcycle,Other,8
Mode to Work,B08301,18,Bicycle,Bike,4
Mode to Work,B08301,19,Walked,Walk,5
Mode to Work,B08301,20,Other Means,Other,9
Mode to Work,B08301,21,Worked At Home,Work from Home,6
Age,B01001,2,Male,Total,6
Age,B01001,3,Under 5 Years,Under 17,1
Age,B01001,4,5 To 9 Years,Under 17,1
Age,B01001,5,10 To 14 Years,Under 17,1
Age,B01001,6,15 To 17 Years,Under 17,1
Age,B01001,7,18 And 19 Years,18 to 34,2
Age,B01001,8,20 Years,18 to 34,2
Age,B01001,9,21 Years,18 to 34,2
Age,B01001,10,22 To 24 Years,18 to 34,2
Age,B01001,11,25 To 29 Years,18 to 34,2
Age,B01001,12,30 To 34 Years,18 to 34,2
Age,B01001,13,35 To 39 Years,35 to 49,3
Age,B01001,14,40 To 44 Years,35 to 49,3
Age,B01001,15,45 To 49 Years,35 to 49,3
Age,B01001,16,50 To 54 Years,50 to 64,4
Age,B01001,17,55 To 59 Years,50 to 64,4
Age,B01001,18,60 And 61 Years,50 to 64,4
Age,B01001,19,62 To 64 Years,50 to 64,4
Age,B01001,20,65 And 66 Years,65+,5
Age,B01001,21,67 To 69 Years,65+,5
Age,B01001,22,70 To 74 Years,65+,5
Age,B01001,23,75 To 79 Years,65+,5
Age,B01001,24,80 To 84 Years,65+,5
Age,B01001,25,85 Years And Over,65+,5
Age,B01001,26,Female,Total,6
Age,B01001,27,Under 5 Years,Under 17,1
Age,B01001,28,5 To 9 Years,Under 17,1
Age,B01001,29,10 To 14 Years,Under 17,1
Age,B01001,30,15 To 17 Years,Under 17,1
Age,B01001,31,18 And 19 Years,18 to 34,2
Age,B01001,32,20 Years,18 to 34,2
Age,B01001,33,21 Years,18 to 34,2
Age,B01001,34,22 To 24 Years,18 to 34,2
Age,B01001,35,25 To 29 Years,18 to 34,2
Age,B01001,36,30 To 34 Years,18 to 34,2
Age,B01001,37,35 To 39 Years,35 to 49,3
Age,B01001,38,40 To 44 Years,35 to 49,3
Age,B01001,39,45 To 49 Years,35 to 49,3
Age,B01001,40,50 To 54 Years,50 to 64,4
Age,B01001,41,55 To 59 Years,50 to 64,4
Age,B01001,42,60 And 61 Years,50 to 64,4
Age,B01001,43,62 To 64 Years,50 to 64,4
Age,B01001,44,65 And 66 Years,65+,5
Age,B01001,45,67 To 69 Years,65+,5
Age,B01001,46,70 To 74 Years,65+,5
Age,B01001,47,75 To 79 Years,65+,5
Age,B01001,48,80 To 84 Years,65+,5
Age,B01001,49,85 Years And Over,65+,5
Gender,B01001,1,Total,Total,3
Gender,B01001,2,Male,Male,2
Gender,B01001,26,Female,Female,1
